Animal,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Average Speed (km/h),Countries Found,Conservation Status,Family,Gestation Period (days),Top Speed (km/h),Social Structure,Offspring per Birth,Year Discovered
Aardvark,117.5,52.5,Grey,25,Insectivore,"Savannas, Grasslands","Lions, Hyenas",40,Africa,Least Concern,Orycteropodidae,225,40,Solitary,1,1950
Aardwolf,45,11,Yellow-brown,11,Insectivore,"Grasslands, Savannas","Lions, Leopards",27,Eastern and Southern Africa,Least Concern,Hyaenidae,90,40,Solitary,3.5,1880
African Elephant,290,4350,Grey,65,Herbivore,"Savannah, Forest","Lions, Hyenas",25,Africa,Vulnerable,Elephantidae,650,40,Herd-based,1,1820
African Lion,95,185,Tan,12,Carnivore,"Grasslands, Savannas","Hyenas, Crocodiles",58,Africa,Vulnerable,Felidae,101.5,80,Group-based,3,1900
African Wild Dog,77.5,27,Multicolored,11,Carnivore,Savannahs,"Lions, Hyenas",56,Sub-Saharan Africa,Endangered,Canidae,70,56,Group-based,11,1930
Alpine Ibex,84,69.5,Brown,17.5,Herbivore,"Mountains, Alpine","Wolves, Golden Eagles",60,European Alps,Least Concern,Bovidae,150,60,Group-based,1,1850
Amazon Rainforest Frog,7.5,0.5,Various,10.5,Insectivore,Amazon Rainforest,"Birds, Snakes",0.55,Amazon Rainforest,Not Evaluated,Dendrobatidae,12.5,0.8,Solitary,40,2000
American Bison,169,159.5,Brown,17.5,Herbivore,"Grasslands, Plains","Wolves, Grizzly Bears",48,North America,Near Threatened,Bovidae,280,56,Group-based,1,1870
Anteater,71.5,31.5,"Brown, White",17.5,Insectivore,"Grasslands, Forests","Jaguars, Pumas",24,Central and South America,Least Concern,Myrmecophagidae,200,24,Solitary,1,1920
Arabian Horse,150,690,Various,27.5,Herbivore,"Middle East, North Africa","Humans, Predators",65,"Middle East, North Africa",Not Applicable,Equidae,336,65,Herd-based,1,1800
Arabian Oryx,80,77.5,White,15,Herbivore,Desert,"Lions, Leopards",55,Middle East,Vulnerable,Bovidae,225,55,Herd-based,1,1910
Arctic Fox,27.5,5.75,White,4.5,Omnivore,Tundra,Polar Bears,60,Arctic regions,Least Concern,Canidae,56,60,Solitary,7.5,1980
